,US Equities,World Equities,US Treasuries,High Yield,Corp Bonds,Real Estate,Commodities,,Regime
Jan-85,0.081301,0.028511,0.0315,0.037908,0.048963,0.056605,0.021351,,1
Feb-85,0.030075,-0.009204,-0.044692,0.012689,-0.042029,0.016448,-0.015217,,1
Mar-85,-0.007299,0.075134,0.028719,0.004323,0.032666,-0.006716,0.037171,,1
Apr-85,-0.012255,-0.002459,0.023084,0.018215,0.037125,0.000906,-0.035116,,1
May-85,0.064516,0.040245,0.08678,0.042363,0.104199,0.027241,0.004351,,1
Jun-85,0.020979,0.022419,0.014284,0.012712,0.012482,0.023207,-0.046275,,1
Jul-85,0.004566,0.04848,-0.014958,0.008399,-0.006449,0.009221,-0.00624,,1
Aug-85,-0.009091,0.027709,0.021934,0.020119,0.037397,-0.054684,0.014064,,1
Sep-85,-0.027523,0.048713,0.002172,0.009599,0.000941,-0.031145,0.060092,,1
Oct-85,0.037736,0.058439,0.033903,0.002563,0.03784,0.031415,0.075345,,1
Nov-85,0.054545,0.044028,0.044784,0.024928,0.039552,-0.016072,0.013692,,1
Dec-85,0.053879,0.043064,0.055787,0.037576,0.049738,0.006132,-0.020173,,1
Jan-86,0.018405,0.023523,0.001901,0.013204,0.011088,0.038663,-0.11485,,1
Feb-86,0.062249,0.103886,0.10214,0.038498,0.070921,0.037841,-0.026356,,1
Mar-86,0.045369,0.135545,0.090884,0.038398,0.035323,0.024605,0.01838,,1
Apr-86,0.001808,0.061881,-0.006375,0.015905,0.0078,0.005987,0.040201,,1
May-86,0.045126,-0.041809,-0.060598,0.011,-0.015738,-0.005707,-0.030005,,1
Jun-86,0.025907,0.062988,0.065386,0.011101,0.027015,0.035197,0.034614,,1
Jul-86,-0.06734,0.056267,-0.003364,-0.010003,0.006459,0.004531,0.028016,,1
Aug-86,0.070397,0.09719,0.042794,0.015401,0.029238,0.041686,0.075423,,1
Sep-86,-0.072513,-0.008612,-0.03884,0.011997,-0.004046,-0.023978,-0.019335,,1
Oct-86,0.047273,-0.063019,0.019506,0.023202,0.023714,0.036946,0.007634,,1
Nov-86,0.008681,0.056102,0.019506,-0.002698,0.020249,-0.005541,0.039677,,1
Dec-86,-0.024096,0.051167,-0.002445,-0.002903,0.012583,-0.010529,-0.019388,,1
Jan-87,0.13933,0.108203,0.01679,0.0414,0.03038,0.021365,0.050863,,1
Feb-87,0.037152,0.031426,0.015549,0.0212,0.008332,0.030648,-0.05544,,1
Mar-87,0.026866,0.084565,-0.031571,0.006903,-0.005509,0.001829,0.08456,,1
Apr-87,-0.018895,0.099715,-0.03548,-0.034799,-0.045337,-0.02711,0.05086,,1
May-87,0.005926,-0.000571,-0.012897,0.007196,-0.006359,-0.009524,0.047262,,1
Jun-87,0.04271,-0.028603,0.01165,0.012801,0.020358,0.019903,0.037225,,1
Jul-87,0.045198,0.004196,-0.019659,0.002704,-0.003802,0.000979,0.057272,,1
Aug-87,0.024324,0.071292,-0.013044,0.0062,-0.00783,-0.018997,-0.038489,,1
Sep-87,0.009235,-0.014865,-0.042215,-0.031505,-0.03938,-0.020524,0.017791,,-1
Oct-87,-0.227451,-0.145045,0.068928,-0.032698,0.047145,-0.142819,-0.013019,,-1
Nov-87,-0.079526,0.007757,0.001092,0.028798,0.014863,0.009546,0.013652,,-1
Dec-87,0.066176,0.030661,0.017579,0.024104,0.026261,0.035518,-0.027027,,1
Jan-88,0.039655,0.015719,0.062606,0.033399,0.054054,0.082366,0.025065,,1
Feb-88,0.056385,0.066428,0.01157,0.032397,0.018638,0.024088,-0.017153,,1
Mar-88,-0.015699,0.061226,-0.029151,-0.010401,-0.011634,0.002007,0.058485,,1
Apr-88,0.011164,0.014342,-0.021387,0.007603,-0.009595,0.008221,0.006139,,1
May-88,0.01735,-0.031931,-0.008581,0.001499,-0.007383,-0.011445,0.063023,,1
Jun-88,0.031008,-0.022423,0.036553,0.014601,0.032619,0.025898,-0.027962,,1
Jul-88,-0.001504,0.029452,-0.018803,0.006601,-0.003057,0.012632,0.008352,,1
Aug-88,-0.039157,-0.064325,0.003306,-0.001503,0.00571,-0.006348,-0.009705,,1
Sep-88,0.045455,0.042613,0.036248,0.012603,0.029122,-0.003428,-0.034215,,1
Oct-88,0.02099,0.083755,0.029857,0.012098,0.023428,-0.007428,0.051347,,1
Nov-88,-0.017621,0.057498,-0.020128,0.0059,-0.01281,-0.016013,0.06939,,1
Dec-88,0.022422,0.006279,0.01173,0.004701,0.00364,0.001209,0.064265,,1
Jan-89,0.068713,0.02009,0.022553,0.017599,0.020358,0.004579,0.011989,,1
Feb-89,-0.02052,0.004121,-0.020081,0.002202,-0.009295,-0.016532,0.037636,,1
Mar-89,0.032123,-0.018123,0.009786,-0.007801,0.005123,-0.000274,0.057366,,1
Apr-89,0.043302,0.009946,0.022175,0.004202,0.021659,0.016731,0.048986,,1
May-89,0.045396,-0.052117,0.039262,0.019399,0.042002,0.023771,-0.023663,,1
Jun-89,-0.007444,-0.014679,0.058009,0.012399,0.038325,0.008725,0.032658,,1
Jul-89,0.07125,0.123472,0.022875,-0.001298,0.03175,0.023781,-0.033742,,1
Aug-89,0.032672,-0.042253,-0.02633,0.0034,-0.015453,0.00098,0.040655,,1
Sep-89,-0.00226,0.043313,0.003157,-0.0168,0.001071,-0.011828,0.059497,,1
Oct-89,-0.030578,-0.038112,0.040918,-0.0237,0.031707,-0.041319,0.005727,,1
Nov-89,0.024533,0.04918,0.00834,-0.001999,0.008736,-0.01354,0.015049,,1
Dec-89,0.007982,0.036733,-0.001838,0.0016,-0.000362,-0.011379,0.08277,,1
Jan-90,-0.072398,-0.03838,-0.035083,-0.021504,-0.013901,-0.022299,-0.005709,,1
Feb-90,0.018293,-0.067558,-0.005122,-0.020597,-0.002196,-0.034297,-0.017386,,1
Mar-90,0.016766,-0.099312,-0.001615,0.026198,0.00501,0.001661,0.033061,,1
Apr-90,-0.020024,-0.011043,-0.02356,-0.001701,-0.013603,-0.015353,-0.008433,,1
May-90,0.092548,0.112225,0.044219,0.019301,0.053778,-0.000319,-0.021393,,1
Jun-90,-0.006601,-0.008631,0.023107,0.024202,0.010339,0.007628,-0.01085,,-1
Jul-90,-0.015504,0.014764,0.010178,0.026899,0.019161,-0.017987,0.094352,,-1
Aug-90,-0.092238,-0.094435,-0.04246,-0.056899,-0.024782,-0.06107,0.150793,,-1
Sep-90,-0.02974,-0.134732,0.012777,-0.073001,0.013193,-0.069307,0.185198,,-1
Oct-90,-0.030651,0.146651,0.023599,-0.0525,0.004576,-0.035022,-0.022631,,-1
Nov-90,0.067194,-0.055239,0.040116,0.031201,0.019826,0.06369,-0.083754,,1
Dec-90,0.023457,0.017532,0.020353,0.005599,0.017807,0.000385,-0.003184,,1
Jan-91,0.049457,0.030861,0.011704,0.027503,0.025059,0.087627,-0.099607,,1
Feb-91,0.086207,0.105555,0.002161,0.109398,0.005227,0.049184,0.026383,,1
Mar-91,0.013757,-0.057533,0.004043,0.058897,0.021892,0.076228,0.025616,,1
Apr-91,0.022965,0.010216,0.01445,0.041004,0.018602,0.023763,0.037075,,1
May-91,0.026531,0.012296,-0.001323,0.001801,0.006875,0.023599,-0.007,,1
Jun-91,-0.027833,-0.07068,-0.005961,0.029596,-0.000552,-0.025924,-0.0214,,1
Jul-91,0.029652,0.047698,0.015326,0.032,0.017228,0.019291,0.041077,,1
Aug-91,0.028798,-0.019097,0.03277,0.023004,0.028957,0.000602,0.021005,,1
Sep-91,-0.008687,0.053019,0.032578,0.013897,0.026823,0.019315,0.008108,,1
Oct-91,0.012658,0.015875,0.000821,0.033402,0.009773,-0.006179,0.037293,,1
Nov-91,-0.022115,-0.04516,0.00619,0.005201,0.012336,0.000238,-0.058288,,1
Dec-91,0.094395,0.049315,0.059686,0.014397,0.039825,0.04731,-0.061158,,1
Jan-92,0,-0.019402,-0.031026,0.035202,-0.015114,0.049501,0.03111,,1
Feb-92,0.012579,-0.034484,0.005833,0.024699,0.011639,-0.023214,-0.023654,,1
Mar-92,-0.024845,-0.065118,-0.011203,0.012399,0.000481,-0.014879,0.030555,,1
Apr-92,0.009099,0.003983,0.000718,0.003802,0.005063,0.002246,0.023131,,1
May-92,0.014427,0.064533,0.025832,0.0141,0.018287,0.032194,0.024252,,1
Jun-92,-0.014222,-0.045005,0.014885,0.009398,0.025134,-0.012121,-0.004134,,1
Jul-92,0.03156,-0.023205,0.040628,0.015101,0.029707,0.033843,-0.020552,,1
Aug-92,-0.019231,0.058813,0.008207,0.013096,0.012789,-0.008644,0.010286,,1
Sep-92,0.003565,-0.021959,0.014781,0.010179,0.018439,0.023854,0.012543,,1
Oct-92,0.024867,-0.049167,-0.02068,-0.01408,-0.028358,-0.003281,-0.018662,,1
Nov-92,0.032929,0.00726,0.00393,0.012571,0.002997,0.019471,-0.031313,,1
Dec-92,0.017617,0.006219,0.026814,0.011416,0.020931,0.019322,0.012566,,1
Jan-93,0.02061,-0.000363,0.030769,0.029088,0.029088,0.063691,0.012619,,1
Feb-93,-0.005654,0.031723,0.04027,0.017644,0.031439,0.047126,0.010316,,1
Mar-93,0.023558,0.085248,-0.008575,0.01285,-0.002132,0.069436,0.023566,,1
Apr-93,-0.019048,0.093006,0.011492,0.008744,0.009913,-0.044077,-0.010415,,1
May-93,0.033172,0.021778,0.013291,0.011875,0.008466,-0.012208,-0.028871,,1
Jun-93,-0.003915,-0.015033,0.030775,0.020972,0.022461,0.029347,-0.035169,,1
Jul-93,0.005503,0.033995,0.016554,0.009669,0.007408,0.016882,-0.00099,,1
Aug-93,0.035184,0.051768,0.03946,0.00844,0.029128,0.023987,-0.004954,,1
Sep-93,0.004532,-0.023216,0.010299,0.002581,0.007585,0.04562,0.01091,,1
Oct-93,0.015789,0.033563,-0.006889,0.020242,-0.004865,-0.012592,-0.026294,,1
Nov-93,-0.015544,-0.084719,-0.015655,0.004803,-0.006901,-0.047299,-0.056032,,1
Dec-93,0.010526,0.07182,0.000812,0.012442,0.005317,-0.00027,-0.016354,,1
Jan-94,0.032738,0.083301,0.015921,0.02171,0.017893,0.029905,0.096012,,1
Feb-94,-0.024496,-0.004333,-0.045547,-0.002618,-0.031229,0.034432,-0.040883,,1
Mar-94,-0.04062,-0.042824,-0.031459,-0.037766,-0.027546,-0.040264,-0.01176,,1
Apr-94,0.015396,0.040683,-0.011795,-0.00684,-0.011289,0.016222,0.025032,,1
May-94,0.006823,-0.005036,-0.002362,0.000508,-0.000349,0.020327,0.009252,,1
Jun-94,-0.024849,0.011742,-0.012639,0.00308,-0.005575,-0.021705,0.034422,,1
Jul-94,0.030888,0.011209,0.03054,0.008488,0.027176,-0.002535,0.022838,,1
Aug-94,0.032959,0.025174,-0.006248,0.007084,0.002492,0.00555,-0.074648,,1
Sep-94,-0.016679,-0.028969,-0.030353,0.000065,-0.021832,-0.020317,-0.010669,,1
Oct-94,0.011062,0.031712,-0.013276,0.002354,-0.009015,-0.037097,0.013605,,1
Nov-94,-0.039387,-0.048376,0.013471,-0.012599,0.002676,-0.032501,-0.045991,,1
Dec-94,0.024298,0.007013,0.017494,0.007368,0.011493,0.061737,0.039583,,1
Jan-95,0.022239,-0.039228,0.024389,0.013565,0.022759,-0.014847,-0.023908,,1
Feb-95,0.036258,-0.000434,0.029319,0.034285,0.036019,0.03246,0.002221,,1
Mar-95,0.030791,0.061949,0.009043,0.01076,0.009374,-0.005961,0.019558,,1
Apr-95,0.022403,0.037154,0.015716,0.025432,0.019049,0.002259,0.038085,,1
May-95,0.036521,-0.009769,0.086505,0.028034,0.06244,0.045025,-0.009417,,1
Jun-95,0.033312,-0.015972,0.005325,0.006367,0.00354,0.017735,-0.025919,,1
Jul-95,0.032858,0.060827,-0.023173,0.012628,-0.008854,0.015633,0.016927,,1
Aug-95,0.018007,-0.036476,0.036396,0.003115,0.026305,0.014878,0.038333,,1
Sep-95,0.028302,0.018887,0.010245,0.012298,0.009764,0.018302,0.007723,,1
Oct-95,0.000573,-0.02593,0.03364,0.00617,0.018758,-0.018397,0.002321,,1
Nov-95,0.039542,0.028449,0.02496,0.00882,0.021416,0.010031,0.034354,,1
Dec-95,0.014333,0.039386,0.022057,0.015712,0.01543,0.054862,0.091824,,1
Jan-96,0.032065,0.006109,-0.003994,0.017615,0.005639,0.019152,-0.01101,,1
Feb-96,0.014745,0.003166,-0.034473,0.000787,-0.016901,0.007706,0.03843,,1
Mar-96,0.01972,0.021435,-0.027377,-0.000688,-0.016218,-0.001439,0.090747,,1
Apr-96,0.016285,0.029789,-0.0209,0.002209,-0.011846,0.003254,0.04769,,1
May-96,0.022033,-0.016835,-0.002795,0.006019,-0.001671,0.02714,-0.012429,,1
Jun-96,0.00245,0.004589,0.020465,0.008274,0.016564,0.013781,0.045612,,1
Jul-96,-0.046432,-0.029022,0.014583,0.004644,0.013303,0.00861,-0.032237,,1
Aug-96,0.015377,0.004059,-0.026517,0.010816,-0.014219,0.040686,0.010783,,1
Sep-96,0.054013,0.027345,0.034512,0.024082,0.029003,0.017391,0.031039,,1
Oct-96,0.011973,-0.006421,0.030355,0.007692,0.025354,0.032083,-0.003779,,1
Nov-96,0.068623,0.041486,0.035664,0.019721,0.025159,0.045499,0.089189,,1
Dec-96,-0.011957,-0.013624,-0.024337,0.007175,-0.015627,0.099645,0.009743,,1
Jan-97,0.054236,-0.030926,-0.005966,0.009757,0.001604,0.011132,-0.019516,,1
Feb-97,0.003401,0.015403,-0.001101,0.016536,0.004747,0.00086,-0.063896,,1
Mar-97,-0.047458,0.001262,-0.02296,-0.014892,-0.015612,-0.009247,0.010861,,1
Apr-97,0.041815,0.006388,0.025161,0.010547,0.017306,-0.0228,0.028961,,1
May-97,0.071734,0.066191,0.008273,0.021388,0.010633,0.032005,-0.002145,,1
Jun-97,0.050996,0.053635,0.024998,0.013879,0.02038,0.047995,-0.043282,,1
Jul-97,0.065201,0.018586,0.034866,0.02746,0.024741,0.029932,0.050745,,1
Aug-97,-0.032028,-0.073439,-0.011304,-0.002277,-0.004972,-0.002011,0.013363,,1
Sep-97,0.065809,0.056363,0.037745,0.019814,0.02596,0.079882,0.023876,,1
Oct-97,-0.017247,-0.075212,0.023872,0.000896,0.008042,-0.025481,0.016905,,1
Nov-97,0.027729,-0.010951,0.01414,0.009553,0.006997,0.016949,-0.084216,,1
Dec-97,0.000342,0.009755,0.015863,0.008771,0.011197,0.019687,-0.071358,,1
Jan-98,0.024582,0.042862,0.020221,0.018014,0.013281,-0.004675,-0.016861,,1
Feb-98,0.051316,0.065358,-0.007409,0.005853,-0.000361,-0.016971,-0.065717,,1
Mar-98,0.058954,0.033074,0.006942,0.009389,0.007859,0.016494,-0.012267,,1
Apr-98,0.011075,0.007998,0.000383,0.003939,0.004531,-0.032148,-0.004039,,1
May-98,-0.03582,-0.00497,0.0208,0.003473,0.014056,-0.008478,-0.068778,,1
Jun-98,0.050046,0.005538,0.019922,0.003596,0.007147,-0.006237,-0.030119,,1
Jul-98,-0.040936,0.006763,-0.003976,0.005691,-0.001952,-0.065551,-0.092217,,-1
Aug-98,-0.119207,-0.127485,0.041625,-0.057952,0.004132,-0.103474,-0.026712,,-1
Sep-98,-0.003115,-0.028294,0.050504,0.008968,0.045609,0.063476,0.06218,,1
Oct-98,0.125694,0.104403,-0.025451,-0.021948,-0.025026,-0.027235,-0.029296,,1
Nov-98,0.056447,0.050918,0.009565,0.042666,0.024273,0.018204,-0.122777,,1
Dec-98,0.055474,0.038616,-0.003444,-0.000015,-0.000033,-0.030126,-0.014771,,1
Jan-99,0.033748,0.000424,-0.00125,0.014128,0.005194,-0.019289,-0.008491,,1
Feb-99,-0.033984,-0.024922,-0.048018,-0.006808,-0.026787,-0.024325,-0.03116,,1
Mar-99,0.044598,0.041967,0.002063,0.011309,0.011738,-0.014482,0.157857,,1
Apr-99,0.053302,0.043117,0.006297,0.019255,0.00564,0.109037,0.05319,,1
May-99,-0.037764,-0.050291,-0.026707,-0.01469,-0.02282,0.016695,-0.072045,,1
Jun-99,0.063318,0.03933,-0.001896,-0.00113,0.000432,-0.017781,0.074999,,1
Jul-99,-0.038878,0.02902,-0.002604,0.004188,-0.004262,-0.036372,0.053157,,1
Aug-99,0.000256,0.003071,-0.004607,-0.012068,-0.002974,-0.020875,0.055232,,1
Sep-99,-0.034041,0.011025,-0.001864,-0.007743,0.006122,-0.040387,0.055287,,1
Oct-99,0.060413,0.03886,0.007443,-0.004924,0.009063,-0.016011,-0.039799,,1
Nov-99,0.043228,0.035181,-0.005261,0.011519,0.001931,-0.024554,0.034791,,1
Dec-99,0.062036,0.09215,-0.012958,0.011334,-0.00438,0.020501,0.0337,,1
Jan-00,-0.022553,-0.060581,0.019772,-0.003499,-0.001161,0.018291,0.089183,,1
Feb-00,0.023766,0.028542,0.022985,0.000645,0.007933,-0.020461,0.078944,,1
Mar-00,0.032454,0.041239,0.035912,-0.020559,0.009048,0.035848,-0.050421,,1
Apr-00,-0.027287,-0.051687,-0.009177,0.002162,-0.010934,0.0838,0.012628,,1
May-00,-0.02491,-0.024032,0.00511,-0.0101,0.003192,-0.005667,0.114209,,1
Jun-00,0.029459,0.043455,0.01391,0.019632,0.021615,0.050156,0.056032,,1
Jul-00,-0.027498,-0.03803,0.021167,0.007524,0.015658,0.076568,-0.067227,,1
Aug-00,0.073563,0.013265,0.021226,0.008838,0.013822,-0.054656,0.147674,,1
Sep-00,-0.056317,-0.051609,-0.014359,-0.010597,0.003887,0.012027,0.008019,,-1
Oct-00,-0.019061,-0.027053,0.017594,-0.031677,0.002381,-0.029495,-0.01191,,-1
Nov-00,-0.090909,-0.040076,0.024205,-0.042732,0.007734,0.020314,0.052762,,-1
Dec-00,0.012723,0.035246,0.029418,0.022265,0.023853,0.065939,0.004478,,-1
1-Jan,0.042714,0.004522,0.010971,0.077263,0.036949,0.014273,-0.018443,,-1
1-Feb,-0.098313,-0.083441,0.013633,0.011456,0.007483,-0.005577,-0.045112,,-1
1-Mar,-0.082042,-0.072481,-0.011324,-0.023881,0.003236,0.003716,-0.051187,,-1
1-Apr,0.114119,0.091289,-0.022476,-0.011104,-0.000319,0.027175,0.071187,,-1
1-May,0.001829,-0.045019,0.003338,0.016649,0.009946,0.026344,-0.039319,,-1
1-Jun,-0.01591,-0.031187,0.001832,-0.028077,0.001993,0.05353,-0.075702,,-1
1-Jul,-0.018023,-0.017361,0.034965,0.015422,0.028888,-0.010639,0.008642,,-1
1-Aug,-0.064777,-0.047903,0.023142,0.011099,0.014971,0.02796,0.010486,,-1
1-Sep,-0.094084,-0.094885,0.012533,-0.066887,-0.000946,-0.04083,-0.115337,,-1
